ecosystem,rep,lat,long,lat_2,lon_2
BP,1,41.893969,-89.375959,,
BP,2,41.893970,-89.375883,,
BP,3,41.893976,-89.375853,,
BP,4,41.893974,-89.375824,,
BP,5,41.893889,-89.375939,,
BP,6,41.893904,-89.375901,,
BP,7,41.893902,-89.375861,,
BP,8,41.893892,-89.375831,,
BP,9,41.893899,-89.375869,,
BP,10,41.893858,-89.375893,,
BP,11,41.893815,-89.375895,,
BP,12,41.893798,-89.375889,,
EW,1,41.894405,-89.376985,,
EW,2,41.894414,-89.376997,,
EW,3,41.894402,-89.377021,,
EW,4,41.894399,-89.377009,,
EW,5,,,,
EW,6,,,,
EW,7,,,,
EW,8,,,,
EW,9,,,,
EW,10,,,,
EW,11,,,,
EW,12,,,,
NW,1,,,41.8943686,-89.3790877
NW,2,,,41.8943686,-89.3790877
NW,3,,,41.8943686,-89.3790877
NW,4,,,41.8943686,-89.3790877
NW,5,,,41.8944063,-89.3792088
NW,6,,,41.8944063,-89.3792088
NW,7,,,41.8944063,-89.3792088
NW,8,,,41.8944063,-89.3792088
NW,9,,,41.8943344,-89.3791769
NW,10,,,41.8943344,-89.3791769
NW,11,,,41.8943344,-89.3791769
NW,12,,,41.8943344,-89.3791769
SP,1,41.894994,-89.377239,41.8948939,-89.3772699
SP,2,41.894978,-89.377252,41.8948939,-89.3772699
SP,3,41.894992,-89.377122,41.8948939,-89.3772699
SP,4,,,41.8948939,-89.3772699
SP,5,41.894833,-89.377369,41.8948273,-89.3772957
SP,6,41.894816,-89.377251,41.8948273,-89.3772957
SP,7,41.894811,-89.377248,41.8948273,-89.3772957
SP,8,41.894811,-89.377196,41.8948273,-89.3772957
SP,9,41.894699,-89.377603,41.8947864,-89.3772678
SP,10,41.894710,-89.377535,41.8947864,-89.3772678
SP,11,41.894700,-89.377581,41.8947864,-89.3772678
SP,12,41.894734,-89.377462,41.8947864,-89.3772678
SW,1,,,41.893139,-89.378226
SW,2,,,41.893139,-89.378226
SW,3,,,41.893139,-89.378226
SW,4,,,41.893139,-89.378226
SW,5,,,41.89342,-89.37742
SW,6,,,41.89342,-89.37742
SW,7,,,41.89342,-89.37742
SW,8,,,41.89342,-89.37742
SW,9,,,41.893533,-89.376881
SW,10,,,41.893533,-89.376881
SW,11,,,41.893533,-89.376881
SW,12,,,41.893533,-89.376881
WW,1,41.894424,-89.379325,41.8943686,-89.3790877
WW,2,41.894444,-89.379253,41.8943686,-89.3790877
WW,3,41.894438,-89.379230,41.8943686,-89.3790877
WW,4,41.894454,-89.379256,41.8943686,-89.3790877
WW,5,41.894374,-89.379297,41.8944063,-89.3792088
WW,6,41.894410,-89.379273,41.8944063,-89.3792088
WW,7,41.894407,-89.379225,41.8944063,-89.3792088
WW,8,41.894415,-89.379204,41.8944063,-89.3792088
WW,9,41.894337,-89.379293,41.8943344,-89.3791769
WW,10,41.894352,-89.379220,41.8943344,-89.3791769
WW,11,41.894348,-89.379176,41.8943344,-89.3791769
WW,12,41.894456,-89.379144,41.8943344,-89.3791769