method,date,id,ecosystem,site,transect,patch,chamber,soil_moisture,soil_temperature
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,1,13,26.2
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,2,13.3,24.9
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,3,11.7,26.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,4,12.9,25.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,5,12.5,25.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,6,14.6,24.3
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,7,15.6,24.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,8,17,24.9
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,9,8.9,25.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,10,12,25.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,11,13.6,24.8
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,12,15.3,24.7
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,1,8.9,20.9
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,2,7.4,21.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,3,7.1,21.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,4,8.8,21.1
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,5,11.4,20.9
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,6,12.4,21.3
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,7,12.7,20.3
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,8,11.8,20.2
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,9,12.1,22.7
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,10,11.8,24.2
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,11,10.1,22.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,12,14.9,21.5
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,1,3.2,20.5
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,2,3.7,21.1
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,3,2.3,21.2
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,4,3.4,22
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,5,7.7,21.4
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,6,5.4,21.1
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,7,8.2,20.8
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,8,8.9,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,9,8.1,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,10,9.7,21.3
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,11,13.1,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,12,10.2,22.3
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,1,5.1,19.8
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,2,8.1,19.3
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,3,4.1,19.4
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,4,4.1,19.6
handheld-sensor,2022/08/18,ew,woodland,east,mid,NA,5,7.5,19.2
handheld-sensor,2022/08/18,ew,woodland,east,mid,NA,6,6.5,27.5
handheld-sensor,2022/08/18,ew,woodland,east,mid,NA,7,4.7,29.6
handheld-sensor,2022/08/18,ew,woodland,east,mid,NA,8,3.5,26.5
handheld-sensor,2022/08/18,ew,woodland,east,low,NA,9,4.2,32.2
handheld-sensor,2022/08/18,ew,woodland,east,low,NA,10,4.3,29.3
handheld-sensor,2022/08/18,ew,woodland,east,low,NA,11,4.7,26.9
handheld-sensor,2022/08/18,ew,woodland,east,low,NA,12,4.9,31.1
handheld-sensor,2022/08/18,sw,wetland,south,NA,1,1,37.7,22.6
handheld-sensor,2022/08/18,sw,wetland,south,NA,1,2,40.9,21.8
handheld-sensor,2022/08/18,sw,wetland,south,NA,1,3,47.3,21.6
handheld-sensor,2022/08/18,sw,wetland,south,NA,1,4,43.8,22.1
handheld-sensor,2022/08/18,sw,wetland,south,NA,2,5,23.6,22.1
handheld-sensor,2022/08/18,sw,wetland,south,NA,2,6,18.9,20.9
handheld-sensor,2022/08/18,sw,wetland,south,NA,2,7,21.2,20.9
handheld-sensor,2022/08/18,sw,wetland,south,NA,2,8,24.1,22.1
handheld-sensor,2022/08/18,sw,wetland,south,NA,3,9,15.4,20.7
handheld-sensor,2022/08/18,sw,wetland,south,NA,3,10,17.4,21.5
handheld-sensor,2022/08/18,sw,wetland,south,NA,3,11,18.2,21.6
handheld-sensor,2022/08/18,sw,wetland,south,NA,3,12,18.7,20.9
handheld-sensor,2022/08/18,nw,wetland,north,high,NA,1,7.1,22.7
handheld-sensor,2022/08/18,nw,wetland,north,high,NA,2,6,22.4
handheld-sensor,2022/08/18,nw,wetland,north,high,NA,3,8.8,22.2
handheld-sensor,2022/08/18,nw,wetland,north,high,NA,4,7.6,21.8
handheld-sensor,2022/08/18,nw,wetland,north,mid,NA,5,2.2,21.4
handheld-sensor,2022/08/18,nw,wetland,north,mid,NA,6,5.1,21.5
handheld-sensor,2022/08/18,nw,wetland,north,mid,NA,7,4.5,22.1
handheld-sensor,2022/08/18,nw,wetland,north,mid,NA,8,4.7,21.8
handheld-sensor,2022/08/18,nw,wetland,north,low,NA,9,3.6,22.6
handheld-sensor,2022/08/18,nw,wetland,north,low,NA,10,3.3,23.1
handheld-sensor,2022/08/18,nw,wetland,north,low,NA,11,5.1,22.9
handheld-sensor,2022/08/18,nw,wetland,north,low,NA,12,6.3,22.7
handheld-sensor,2022/09/24,bp,prairie,big_bowl,high,NA,1,14.5,16.1
handheld-sensor,2022/09/24,bp,prairie,big_bowl,high,NA,2,17,15.9
handheld-sensor,2022/09/24,bp,prairie,big_bowl,high,NA,3,14.5,16.2
handheld-sensor,2022/09/24,bp,prairie,big_bowl,high,NA,4,14.1,15.8
handheld-sensor,2022/09/24,bp,prairie,big_bowl,mid,NA,5,18.9,16.4
handheld-sensor,2022/09/24,bp,prairie,big_bowl,mid,NA,6,19.9,16.3
handheld-sensor,2022/09/24,bp,prairie,big_bowl,mid,NA,7,20.3,16
handheld-sensor,2022/09/24,bp,prairie,big_bowl,mid,NA,8,22.2,16.1
handheld-sensor,2022/09/24,bp,prairie,big_bowl,low,NA,9,17,16.3
handheld-sensor,2022/09/24,bp,prairie,big_bowl,low,NA,10,17.7,16.3
handheld-sensor,2022/09/24,bp,prairie,big_bowl,low,NA,11,21.6,16.1
handheld-sensor,2022/09/24,bp,prairie,big_bowl,low,NA,12,19.7,16.2
handheld-sensor,2022/09/24,sp,prairie,small_bowl,high,NA,1,10.4,16.1
handheld-sensor,2022/09/24,sp,prairie,small_bowl,high,NA,2,10.3,15.8
handheld-sensor,2022/09/24,sp,prairie,small_bowl,high,NA,3,9.7,16.2
handheld-sensor,2022/09/24,sp,prairie,small_bowl,high,NA,4,11.3,16
handheld-sensor,2022/09/24,sp,prairie,small_bowl,mid,NA,5,11.2,16.3
handheld-sensor,2022/09/24,sp,prairie,small_bowl,mid,NA,6,13.8,16.4
handheld-sensor,2022/09/24,sp,prairie,small_bowl,mid,NA,7,13.6,16.4
handheld-sensor,2022/09/24,sp,prairie,small_bowl,mid,NA,8,13,16.1
handheld-sensor,2022/09/24,sp,prairie,small_bowl,low,NA,9,16.1,15.4
handheld-sensor,2022/09/24,sp,prairie,small_bowl,low,NA,10,16.3,16.4
handheld-sensor,2022/09/24,sp,prairie,small_bowl,low,NA,11,16.5,16
handheld-sensor,2022/09/24,sp,prairie,small_bowl,low,NA,12,17,15.9
handheld-sensor,2022/09/24,ww,woodland,west,high,NA,1,5.9,14.9
handheld-sensor,2022/09/24,ww,woodland,west,high,NA,2,2.9,14.6
handheld-sensor,2022/09/24,ww,woodland,west,high,NA,3,5.2,14.9
handheld-sensor,2022/09/24,ww,woodland,west,high,NA,4,5.4,15
handheld-sensor,2022/09/24,ww,woodland,west,mid,NA,5,5.5,15.4
handheld-sensor,2022/09/24,ww,woodland,west,mid,NA,6,7.9,15.3
handheld-sensor,2022/09/24,ww,woodland,west,mid,NA,7,6.2,15.7
handheld-sensor,2022/09/24,ww,woodland,west,mid,NA,8,4.4,15.9
handheld-sensor,2022/09/24,ww,woodland,west,low,NA,9,5.3,16.1
handheld-sensor,2022/09/24,ww,woodland,west,low,NA,10,10.5,16.2
handheld-sensor,2022/09/24,ww,woodland,west,low,NA,11,14,15.9
handheld-sensor,2022/09/24,ww,woodland,west,low,NA,12,7.4,16
handheld-sensor,2022/09/24,ew,woodland,east,high,NA,1,5.2,15.9
handheld-sensor,2022/09/24,ew,woodland,east,high,NA,2,6.6,16.1
handheld-sensor,2022/09/24,ew,woodland,east,high,NA,3,6.1,16.2
handheld-sensor,2022/09/24,ew,woodland,east,high,NA,4,3.9,16.5
handheld-sensor,2022/09/24,ew,woodland,east,mid,NA,5,5,16.7
handheld-sensor,2022/09/24,ew,woodland,east,mid,NA,6,6.8,16.3
handheld-sensor,2022/09/24,ew,woodland,east,mid,NA,7,10.6,16.8
handheld-sensor,2022/09/24,ew,woodland,east,mid,NA,8,4.7,16.8
handheld-sensor,2022/09/24,ew,woodland,east,low,NA,9,6.6,17.6
handheld-sensor,2022/09/24,ew,woodland,east,low,NA,10,6.3,17.2
handheld-sensor,2022/09/24,ew,woodland,east,low,NA,11,9.2,17
handheld-sensor,2022/09/24,ew,woodland,east,low,NA,12,2.1,17.6
handheld-sensor,2022/09/24,sw,wetland,south,NA,1,1,39.2,16.1
handheld-sensor,2022/09/24,sw,wetland,south,NA,1,2,40.2,16.2
handheld-sensor,2022/09/24,sw,wetland,south,NA,1,3,50.6,16.4
handheld-sensor,2022/09/24,sw,wetland,south,NA,1,4,47.2,16.1
handheld-sensor,2022/09/24,sw,wetland,south,NA,2,5,23.8,16.3
handheld-sensor,2022/09/24,sw,wetland,south,NA,2,6,30.2,16.2
handheld-sensor,2022/09/24,sw,wetland,south,NA,2,7,27,16.2
handheld-sensor,2022/09/24,sw,wetland,south,NA,2,8,22.8,15.7
handheld-sensor,2022/09/24,sw,wetland,south,NA,3,9,17.7,15.7
handheld-sensor,2022/09/24,sw,wetland,south,NA,3,10,18.9,15.5
handheld-sensor,2022/09/24,sw,wetland,south,NA,3,11,24.1,15.6
handheld-sensor,2022/09/24,sw,wetland,south,NA,3,12,21.9,15.7
handheld-sensor,2022/09/24,nw,wetland,north,high,NA,1,9.7,18.4
handheld-sensor,2022/09/24,nw,wetland,north,high,NA,2,8.1,18.4
handheld-sensor,2022/09/24,nw,wetland,north,high,NA,3,11.7,18.6
handheld-sensor,2022/09/24,nw,wetland,north,high,NA,4,12.8,18.3
handheld-sensor,2022/09/24,nw,wetland,north,mid,NA,5,3.3,19.6
handheld-sensor,2022/09/24,nw,wetland,north,mid,NA,6,7.3,19.2
handheld-sensor,2022/09/24,nw,wetland,north,mid,NA,7,8.7,19.2
handheld-sensor,2022/09/24,nw,wetland,north,mid,NA,8,8,19.2
handheld-sensor,2022/09/24,nw,wetland,north,low,NA,9,7.1,19.3
handheld-sensor,2022/09/24,nw,wetland,north,low,NA,10,5.3,19.3
handheld-sensor,2022/09/24,nw,wetland,north,low,NA,11,2.5,19.2
handheld-sensor,2022/09/24,nw,wetland,north,low,NA,12,9.9,18.8
handheld-sensor,2022/10/22,bp,prairie,big_bowl,high,NA,1,13.4,9.2
handheld-sensor,2022/10/22,bp,prairie,big_bowl,high,NA,2,12.9,9.6
handheld-sensor,2022/10/22,bp,prairie,big_bowl,high,NA,3,16.1,9.4
handheld-sensor,2022/10/22,bp,prairie,big_bowl,high,NA,4,18.1,9.3
handheld-sensor,2022/10/22,bp,prairie,big_bowl,mid,NA,5,15.3,11.1
handheld-sensor,2022/10/22,bp,prairie,big_bowl,mid,NA,6,16,10.4
handheld-sensor,2022/10/22,bp,prairie,big_bowl,mid,NA,7,16.7,10.3
handheld-sensor,2022/10/22,bp,prairie,big_bowl,mid,NA,8,18.4,9.9
handheld-sensor,2022/10/22,bp,prairie,big_bowl,low,NA,9,6.6,13.6
handheld-sensor,2022/10/22,bp,prairie,big_bowl,low,NA,10,8.9,12.7
handheld-sensor,2022/10/22,bp,prairie,big_bowl,low,NA,11,9.2,12.4
handheld-sensor,2022/10/22,bp,prairie,big_bowl,low,NA,12,9.4,12
handheld-sensor,2022/10/22,sp,prairie,small_bowl,high,NA,1,9.1,12.3
handheld-sensor,2022/10/22,sp,prairie,small_bowl,high,NA,2,9,12.6
handheld-sensor,2022/10/22,sp,prairie,small_bowl,high,NA,3,7.4,12.6
handheld-sensor,2022/10/22,sp,prairie,small_bowl,high,NA,4,8.6,12.2
handheld-sensor,2022/10/22,sp,prairie,small_bowl,mid,NA,5,9.6,13.1
handheld-sensor,2022/10/22,sp,prairie,small_bowl,mid,NA,6,8.8,11.7
handheld-sensor,2022/10/22,sp,prairie,small_bowl,mid,NA,7,11,11.2
handheld-sensor,2022/10/22,sp,prairie,small_bowl,mid,NA,8,8.7,10.4
handheld-sensor,2022/10/22,sp,prairie,small_bowl,low,NA,9,9.2,12.6
handheld-sensor,2022/10/22,sp,prairie,small_bowl,low,NA,10,12.9,12.1
handheld-sensor,2022/10/22,sp,prairie,small_bowl,low,NA,11,12.5,12.3
handheld-sensor,2022/10/22,sp,prairie,small_bowl,low,NA,12,19.5,11.1
handheld-sensor,2022/10/22,ww,woodland,west,high,NA,1,3.5,13.5
handheld-sensor,2022/10/22,ww,woodland,west,high,NA,2,3.9,13.8
handheld-sensor,2022/10/22,ww,woodland,west,high,NA,3,3.7,13.8
handheld-sensor,2022/10/22,ww,woodland,west,high,NA,4,4.1,13.6
handheld-sensor,2022/10/22,ww,woodland,west,mid,NA,5,3.8,13.7
handheld-sensor,2022/10/22,ww,woodland,west,mid,NA,6,4.5,14.4
handheld-sensor,2022/10/22,ww,woodland,west,mid,NA,7,5,14
handheld-sensor,2022/10/22,ww,woodland,west,mid,NA,8,2.8,13.5
handheld-sensor,2022/10/22,ww,woodland,west,low,NA,9,3.2,18.4
handheld-sensor,2022/10/22,ww,woodland,west,low,NA,10,4.1,18.4
handheld-sensor,2022/10/22,ww,woodland,west,low,NA,11,6.5,18.7
handheld-sensor,2022/10/22,ww,woodland,west,low,NA,12,4.7,19.1
handheld-sensor,2022/10/22,ew,woodland,east,high,NA,1,3.6,11.3
handheld-sensor,2022/10/22,ew,woodland,east,high,NA,2,3.7,11.3
handheld-sensor,2022/10/22,ew,woodland,east,high,NA,3,3.1,11.3
handheld-sensor,2022/10/22,ew,woodland,east,high,NA,4,2.5,11.7
handheld-sensor,2022/10/22,ew,woodland,east,mid,NA,5,4.2,11.1
handheld-sensor,2022/10/22,ew,woodland,east,mid,NA,6,4.9,11.4
handheld-sensor,2022/10/22,ew,woodland,east,mid,NA,7,4.9,11.3
handheld-sensor,2022/10/22,ew,woodland,east,mid,NA,8,3.2,11.7
handheld-sensor,2022/10/22,ew,woodland,east,low,NA,9,4.2,11.3
handheld-sensor,2022/10/22,ew,woodland,east,low,NA,10,3.6,11.4
handheld-sensor,2022/10/22,ew,woodland,east,low,NA,11,3.9,11.6
handheld-sensor,2022/10/22,ew,woodland,east,low,NA,12,3.1,12.2
handheld-sensor,2022/10/22,sw,wetland,south,NA,1,1,40.3,9.3
handheld-sensor,2022/10/22,sw,wetland,south,NA,1,2,44,9.6
handheld-sensor,2022/10/22,sw,wetland,south,NA,1,3,44.3,10.2
handheld-sensor,2022/10/22,sw,wetland,south,NA,1,4,45.8,9.5
handheld-sensor,2022/10/22,sw,wetland,south,NA,2,5,31.5,8.4
handheld-sensor,2022/10/22,sw,wetland,south,NA,2,6,28.1,8.2
handheld-sensor,2022/10/22,sw,wetland,south,NA,2,7,24.8,8.4
handheld-sensor,2022/10/22,sw,wetland,south,NA,2,8,25,8.8
handheld-sensor,2022/10/22,sw,wetland,south,NA,3,9,15.7,8.9
handheld-sensor,2022/10/22,sw,wetland,south,NA,3,10,17.4,8.6
handheld-sensor,2022/10/22,sw,wetland,south,NA,3,11,22.9,8.4
handheld-sensor,2022/10/22,sw,wetland,south,NA,3,12,9.2,8.4
handheld-sensor,2022/10/22,nw,wetland,north,high,NA,1,10.2,12.6
handheld-sensor,2022/10/22,nw,wetland,north,high,NA,2,7.6,12.4
handheld-sensor,2022/10/22,nw,wetland,north,high,NA,3,8,12.4
handheld-sensor,2022/10/22,nw,wetland,north,high,NA,4,9.6,11.8
handheld-sensor,2022/10/22,nw,wetland,north,mid,NA,5,3.3,12.6
handheld-sensor,2022/10/22,nw,wetland,north,mid,NA,6,7.1,12.8
handheld-sensor,2022/10/22,nw,wetland,north,mid,NA,7,8.1,13.6
handheld-sensor,2022/10/22,nw,wetland,north,mid,NA,8,6.3,12.7
handheld-sensor,2022/10/22,nw,wetland,north,low,NA,9,5.2,14.6
handheld-sensor,2022/10/22,nw,wetland,north,low,NA,10,3.8,15.9
handheld-sensor,2022/10/22,nw,wetland,north,low,NA,11,3.6,15.7
handheld-sensor,2022/10/22,nw,wetland,north,low,NA,12,7.1,15.1
oven-dry,2022/07/12,bp,prairie,big_bowl,high,NA,NA,6.8,NA
oven-dry,2022/07/12,bp,prairie,big_bowl,mid,NA,NA,8.7,NA
oven-dry,2022/07/12,bp,prairie,big_bowl,low,NA,NA,14.9,NA
oven-dry,2022/07/12,bp,prairie,small_bowl,high,NA,NA,3.9,NA
oven-dry,2022/07/12,bp,prairie,small_bowl,mid,NA,NA,13.3,NA
oven-dry,2022/07/12,bp,prairie,small_bowl,low,NA,NA,12.6,NA
oven-dry,2022/07/12,bp,woodland,east,high,NA,NA,15.9,NA
oven-dry,2022/07/12,bp,woodland,east,mid,NA,NA,14.0,NA
oven-dry,2022/07/12,bp,woodland,east,low,NA,NA,14.4,NA
oven-dry,2022/07/12,bp,wetland,north,high,NA,NA,12.9,NA
oven-dry,2022/07/12,bp,wetland,north,mid,NA,NA,3.7,NA
oven-dry,2022/07/12,bp,wetland,north,low,NA,NA,15.1,NA
oven-dry,2022/07/12,bp,woodland,west,high,NA,NA,15.4,NA
oven-dry,2022/07/12,bp,woodland,west,mid,NA,NA,6.8,NA
oven-dry,2022/07/12,bp,woodland,west,low,NA,NA,10.8,NA
oven-dry,2022/07/12,bp,wetland,south,1,NA,NA,42.2,NA
oven-dry,2022/07/12,bp,wetland,south,2,NA,NA,23.4,NA
oven-dry,2022/07/12,bp,wetland,south,3,NA,NA,7.9,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,high,NA,1,11.6,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,high,NA,2,13.5,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,high,NA,3,13.2,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,high,NA,4,12.2,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,mid,NA,5,15.1,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,mid,NA,6,14.5,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,mid,NA,7,14.3,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,mid,NA,8,16.1,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,low,NA,9,13.0,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,low,NA,10,14.9,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,low,NA,11,13.7,NA
oven-dry,2022/09/24,bp,prairie,big_bowl,low,NA,12,15.8,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,high,NA,1,9.0,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,high,NA,2,9.3,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,high,NA,3,8.6,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,high,NA,4,9.8,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,mid,NA,5,10.3,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,mid,NA,6,14.4,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,mid,NA,7,11.1,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,mid,NA,8,12.6,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,low,NA,9,11.7,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,low,NA,10,12.4,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,low,NA,11,12.5,NA
oven-dry,2022/09/24,sp,prairie,small_bowl,low,NA,12,12.7,NA
oven-dry,2022/09/24,ww,woodland,west,high,NA,1,11.9,NA
oven-dry,2022/09/24,ww,woodland,west,high,NA,2,11.6,NA
oven-dry,2022/09/24,ww,woodland,west,high,NA,3,10.7,NA
oven-dry,2022/09/24,ww,woodland,west,high,NA,4,9.5,NA
oven-dry,2022/09/24,ww,woodland,west,mid,NA,5,13.0,NA
oven-dry,2022/09/24,ww,woodland,west,mid,NA,6,20.3,NA
oven-dry,2022/09/24,ww,woodland,west,mid,NA,7,9.3,NA
oven-dry,2022/09/24,ww,woodland,west,mid,NA,8,9.3,NA
oven-dry,2022/09/24,ww,woodland,west,low,NA,9,12.2,NA
oven-dry,2022/09/24,ww,woodland,west,low,NA,10,14.3,NA
oven-dry,2022/09/24,ww,woodland,west,low,NA,11,14.9,NA
oven-dry,2022/09/24,ww,woodland,west,low,NA,12,14.3,NA
oven-dry,2022/09/24,ew,woodland,east,high,NA,1,16.0,NA
oven-dry,2022/09/24,ew,woodland,east,high,NA,2,11.6,NA
oven-dry,2022/09/24,ew,woodland,east,high,NA,3,10.1,NA
oven-dry,2022/09/24,ew,woodland,east,high,NA,4,8.9,NA
oven-dry,2022/09/24,ew,woodland,east,mid,NA,5,14.2,NA
oven-dry,2022/09/24,ew,woodland,east,mid,NA,6,13.6,NA
oven-dry,2022/09/24,ew,woodland,east,mid,NA,7,13.4,NA
oven-dry,2022/09/24,ew,woodland,east,mid,NA,8,13.4,NA
oven-dry,2022/09/24,ew,woodland,east,low,NA,9,14.9,NA
oven-dry,2022/09/24,ew,woodland,east,low,NA,10,10.1,NA
oven-dry,2022/09/24,ew,woodland,east,low,NA,11,14.2,NA
oven-dry,2022/09/24,ew,woodland,east,low,NA,12,6.3,NA
oven-dry,2022/09/24,sw,wetland,south,NA,1,1,31.1,NA
oven-dry,2022/09/24,sw,wetland,south,NA,1,2,35.1,NA
oven-dry,2022/09/24,sw,wetland,south,NA,1,3,46.0,NA
oven-dry,2022/09/24,sw,wetland,south,NA,1,4,41.1,NA
oven-dry,2022/09/24,sw,wetland,south,NA,2,5,26.0,NA
oven-dry,2022/09/24,sw,wetland,south,NA,2,6,21.1,NA
oven-dry,2022/09/24,sw,wetland,south,NA,2,7,18.0,NA
oven-dry,2022/09/24,sw,wetland,south,NA,2,8,19.3,NA
oven-dry,2022/09/24,sw,wetland,south,NA,3,9,20.8,NA
oven-dry,2022/09/24,sw,wetland,south,NA,3,10,14.0,NA
oven-dry,2022/09/24,sw,wetland,south,NA,3,11,18.2,NA
oven-dry,2022/09/24,sw,wetland,south,NA,3,12,16.1,NA
oven-dry,2022/09/24,nw,wetland,north,high,NA,1,10.9,NA
oven-dry,2022/09/24,nw,wetland,north,high,NA,2,9.4,NA
oven-dry,2022/09/24,nw,wetland,north,high,NA,3,12.7,NA
oven-dry,2022/09/24,nw,wetland,north,high,NA,4,12.9,NA
oven-dry,2022/09/24,nw,wetland,north,mid,NA,5,8.2,NA
oven-dry,2022/09/24,nw,wetland,north,mid,NA,6,9.4,NA
oven-dry,2022/09/24,nw,wetland,north,mid,NA,7,13.2,NA
oven-dry,2022/09/24,nw,wetland,north,mid,NA,8,11.8,NA
oven-dry,2022/09/24,nw,wetland,north,low,NA,9,9.3,NA
oven-dry,2022/09/24,nw,wetland,north,low,NA,10,7.7,NA
oven-dry,2022/09/24,nw,wetland,north,low,NA,11,9.2,NA
oven-dry,2022/09/24,nw,wetland,north,low,NA,12,10.7,NA